"","state","value","year","month","number_mass_shooting","time"
"341","Louisiana",4.4,"2019","Apr",1,"2019 Apr"
"342","Louisiana",4.3,"2019","May",4,"2019 May"
"343","Louisiana",4.4,"2019","Jun",3,"2019 Jun"
"344","Louisiana",4.7,"2019","Aug",1,"2019 Aug"
"345","Louisiana",4.8,"2019","Sep",4,"2019 Sep"
"346","Louisiana",4.9,"2019","Nov",3,"2019 Nov"
"347","Louisiana",5,"2019","Dec",6,"2019 Dec"
"348","Louisiana",5.1,"2020","Jan",1,"2020 Jan"
"349","Louisiana",5.2,"2020","Feb",1,"2020 Feb"
"350","Louisiana",5.3,"2020","Mar",1,"2020 Mar"
"351","Louisiana",13.1,"2020","May",3,"2020 May"
"352","Louisiana",9.4,"2020","Jun",4,"2020 Jun"
"353","Louisiana",9.1,"2020","Jul",4,"2020 Jul"
"354","Louisiana",8,"2020","Sep",5,"2020 Sep"
"355","Louisiana",7.9,"2020","Oct",3,"2020 Oct"
"356","Louisiana",7.9,"2020","Nov",4,"2020 Nov"
"357","Louisiana",7.9,"2020","Dec",1,"2020 Dec"
"358","Louisiana",7.6,"2021","Jan",2,"2021 Jan"
"359","Louisiana",7.6,"2021","Feb",5,"2021 Feb"
"360","Louisiana",7.4,"2021","Mar",1,"2021 Mar"
"361","Louisiana",7.2,"2021","Apr",6,"2021 Apr"
"362","Louisiana",7.1,"2021","May",1,"2021 May"
"363","Louisiana",6.9,"2021","Jun",3,"2021 Jun"
"364","Louisiana",6.2,"2021","Aug",3,"2021 Aug"
"365","Louisiana",5.8,"2021","Sep",3,"2021 Sep"
"366","Louisiana",5.4,"2021","Oct",4,"2021 Oct"
"367","Maine",3.1,"2020","Feb",1,"2020 Feb"
"368","Maryland",3.9,"2018","May",1,"2018 May"
"369","Maryland",3.8,"2018","Jun",2,"2018 Jun"
"370","Maryland",3.8,"2018","Jul",2,"2018 Jul"
"371","Maryland",3.7,"2018","Aug",1,"2018 Aug"
"372","Maryland",3.7,"2018","Sep",2,"2018 Sep"
"373","Maryland",3.7,"2018","Dec",1,"2018 Dec"
"374","Maryland",3.6,"2019","Feb",1,"2019 Feb"
"375","Maryland",3.6,"2019","Mar",1,"2019 Mar"
"376","Maryland",3.5,"2019","Apr",3,"2019 Apr"
"377","Maryland",3.5,"2019","May",3,"2019 May"
"378","Maryland",3.5,"2019","Jun",1,"2019 Jun"
"379","Maryland",3.5,"2019","Jul",2,"2019 Jul"
"380","Maryland",3.5,"2019","Aug",5,"2019 Aug"
"381","Maryland",3.4,"2019","Oct",4,"2019 Oct"
"382","Maryland",3.3,"2019","Dec",1,"2019 Dec"
"383","Maryland",3.5,"2020","Mar",3,"2020 Mar"
"384","Maryland",9,"2020","Apr",1,"2020 Apr"
"385","Maryland",9,"2020","May",2,"2020 May"
"386","Maryland",8.6,"2020","Jun",1,"2020 Jun"
"387","Maryland",8.7,"2020","Jul",3,"2020 Jul"
"388","Maryland",7,"2020","Sep",3,"2020 Sep"
"389","Maryland",6.8,"2020","Oct",5,"2020 Oct"
"390","Maryland",6.8,"2020","Dec",1,"2020 Dec"
"391","Maryland",6.2,"2021","Mar",1,"2021 Mar"
"392","Maryland",6.2,"2021","Apr",2,"2021 Apr"
"393","Maryland",6.1,"2021","May",3,"2021 May"
"394","Maryland",6.2,"2021","Jun",1,"2021 Jun"
"395","Maryland",6,"2021","Jul",1,"2021 Jul"
"396","Maryland",6,"2021","Aug",2,"2021 Aug"
"397","Maryland",5.8,"2021","Sep",1,"2021 Sep"
"398","Maryland",5.7,"2021","Oct",3,"2021 Oct"
"399","Massachusetts",3.5,"2018","Jun",1,"2018 Jun"
"400","Massachusetts",3,"2019","May",1,"2019 May"
"401","Massachusetts",3,"2019","Jul",1,"2019 Jul"
"402","Massachusetts",3,"2019","Aug",1,"2019 Aug"
"403","Massachusetts",2.9,"2019","Oct",2,"2019 Oct"
"404","Massachusetts",16.4,"2020","Apr",1,"2020 Apr"
"405","Massachusetts",15.3,"2020","May",1,"2020 May"
"406","Massachusetts",14.8,"2020","Jun",1,"2020 Jun"
"407","Massachusetts",9.8,"2020","Jul",2,"2020 Jul"
"408","Massachusetts",9.3,"2020","Aug",1,"2020 Aug"
"409","Massachusetts",8.5,"2020","Oct",1,"2020 Oct"
"410","Massachusetts",8.4,"2020","Dec",1,"2020 Dec"
"411","Massachusetts",5,"2021","May",1,"2021 May"
"412","Massachusetts",4.9,"2021","Jul",2,"2021 Jul"
"413","Massachusetts",5,"2021","Aug",1,"2021 Aug"
"414","Michigan",4.4,"2018","Feb",2,"2018 Feb"
"415","Michigan",4.3,"2018","Mar",1,"2018 Mar"
"416","Michigan",4.2,"2018","Apr",2,"2018 Apr"
"417","Michigan",4,"2018","Jul",1,"2018 Jul"
"418","Michigan",4,"2018","Aug",1,"2018 Aug"
"419","Michigan",4.1,"2018","Oct",1,"2018 Oct"
"420","Michigan",4.2,"2019","May",1,"2019 May"
"421","Michigan",4.2,"2019","Jun",1,"2019 Jun"
"422","Michigan",4.1,"2019","Jul",1,"2019 Jul"
"423","Michigan",3.9,"2019","Oct",3,"2019 Oct"
"424","Michigan",3.8,"2019","Nov",2,"2019 Nov"
"425","Michigan",3.7,"2019","Dec",1,"2019 Dec"
"426","Michigan",3.7,"2020","Mar",1,"2020 Mar"
"427","Michigan",23.6,"2020","Apr",2,"2020 Apr"
"428","Michigan",20.8,"2020","May",1,"2020 May"
"429","Michigan",14.1,"2020","Jun",2,"2020 Jun"
"430","Michigan",9,"2020","Jul",9,"2020 Jul"
"431","Michigan",8.5,"2020","Aug",3,"2020 Aug"
"432","Michigan",8.2,"2020","Sep",2,"2020 Sep"
"433","Michigan",8.1,"2020","Oct",1,"2020 Oct"
"434","Michigan",5.7,"2021","Jan",1,"2021 Jan"
"435","Michigan",5.1,"2021","Mar",1,"2021 Mar"
"436","Michigan",4.9,"2021","Apr",4,"2021 Apr"
"437","Michigan",5,"2021","May",4,"2021 May"
"438","Michigan",5,"2021","Jun",3,"2021 Jun"
"439","Michigan",4.8,"2021","Jul",3,"2021 Jul"
"440","Michigan",4.7,"2021","Aug",4,"2021 Aug"
"441","Michigan",6.3,"2021","Sep",1,"2021 Sep"
"442","Michigan",6.1,"2021","Oct",2,"2021 Oct"
"443","Minnesota",3,"2018","May",1,"2018 May"
"444","Minnesota",3,"2018","Sep",1,"2018 Sep"
"445","Minnesota",3.1,"2018","Nov",1,"2018 Nov"
"446","Minnesota",3.1,"2019","Jun",1,"2019 Jun"
"447","Minnesota",3.1,"2019","Dec",1,"2019 Dec"
"448","Minnesota",8.9,"2020","Jun",4,"2020 Jun"
"449","Minnesota",6.6,"2020","Aug",1,"2020 Aug"
"450","Minnesota",5.8,"2020","Sep",1,"2020 Sep"
"451","Minnesota",4.4,"2021","Feb",1,"2021 Feb"
"452","Minnesota",4,"2021","May",2,"2021 May"
"453","Minnesota",4,"2021","Jun",1,"2021 Jun"
"454","Minnesota",3.8,"2021","Aug",1,"2021 Aug"
"455","Minnesota",3.7,"2021","Sep",2,"2021 Sep"
"456","Minnesota",3.5,"2021","Oct",3,"2021 Oct"
"457","Mississippi",4.9,"2018","Jan",1,"2018 Jan"
"458","Mississippi",4.9,"2018","May",2,"2018 May"
